id,title,issuer_year,use,status,source
B6,UNI/TR 11634 - Linee guida per il monitoraggio strutturale,"UNI, Italia, 2016","CV 2.5, 3.2 - tài liệu chuyên sâu nhất về quan trắc mà Linee Guida Ponti mục 7.6.3 dẫn chiếu, gồm cả chỉ dẫn hiệu chỉnh mô hình tính theo số liệu đo",Chưa có,Mua tại store.uni.com. Ước tính 60-120 EUR. Đây là tài liệu ưu tiên mua cao nhất của nhóm B
B7,ISO 14963 - Guidelines for dynamic tests and investigations on bridges and viaducts,ISO,"CV 3.x, 4.x - tiêu chuẩn ISO riêng cho thử động cầu",Chưa có,Mua tại iso.org hoặc qua Viện Tiêu chuẩn Chất lượng Việt Nam (VSQI). Ước tính 100-180 CHF
B8,ISO 16587 - Performance parameters for condition monitoring of structures,ISO,"CV 2.2, 2.6 - bộ tham số hiệu năng cho quan trắc trạng thái",Chưa có,iso.org hoặc VSQI. Ước tính 80-150 CHF
B9,ISO 18649 - Evaluation of measurement results from dynamic tests on structures,ISO,CV 3.5 - xử lý và đánh giá kết quả đo động,Chưa có,iso.org hoặc VSQI. Ước tính 80-150 CHF
B10,ISO 13822 - Bases for design of structures - Assessment of existing structures,ISO,"CV 2.6 - cơ sở đánh giá kết cấu hiện hữu, nền cho ngưỡng lớp 1",Chưa có,iso.org hoặc VSQI. Ước tính 150-200 CHF
B11,ISO 17359 - Condition monitoring and diagnostics of machines - General guidelines,ISO,"CV 2.5 - khung chẩn đoán tổng quát, bổ trợ vòng đời mô hình",Chưa có,iso.org hoặc VSQI. Ước tính 100-180 CHF
B12,Sustainable Bridges (EU FP6) - Monitoring Guidelines for Railway Bridges (D5.2) và Guideline for Load and Resistance Assessment of Existing Bridges,"EU FP6, 2007","CV 2.2, 2.6 - hướng dẫn châu Âu đầy đủ về đặc tả, thiết kế và vận hành hệ quan trắc",Chưa có,"diva-portal.org và sustainablebridges.net - miễn phí. Đã thử tải ngày 16/9/2026 nhưng máy chủ không truy cập được từ mạng nội bộ, cần tải thủ công"
B13,JT/T 1037 - Quy phạm kỹ thuật hệ thống quan trắc an toàn kết cấu cầu đường bộ; GB 50982 - Quy phạm quan trắc kết cấu nhà và cầu,Trung Quốc,"CV 2.2, 2.3, 2.4 - quy phạm SHM của nước có khí hậu và tải trọng gần Việt Nam nhất",Chưa có,Mua bản dịch tiếng Anh tại codeofchina.com. Ước tính 80-200 USD mỗi tiêu chuẩn. Ưu tiên cao nhất trong nhóm tài liệu nước ngoài phải mua
C1,"OGC SensorThings API Part 1: Sensing, phiên bản 1.1","Open Geospatial Consortium, 2021","CV 2.4, 2.5 - chuẩn nền của toàn bộ lược đồ dữ liệu; tám thực thể, dịch vụ, bộ kiểm tra tuân thủ",Đã có,"ogc.org - miễn phí, giấy phép mở"
C2,"UCUM - The Unified Code for Units of Measure, đặc tả phiên bản hiện hành",Regenstrief Institute,CV 2.4 - bảng mã đơn vị đo bắt buộc theo chuẩn,Chưa có,unitsofmeasure.org - miễn phí. Nên tải cùng bảng mã đầy đủ
C3,ISO 19156 - Geographic information - Observations and measurements,ISO,CV 2.4 - chuẩn nền mà OGC SensorThings dựa trên; cần để hoàn thiện phụ lục ánh xạ,Chưa có,iso.org hoặc VSQI. Ước tính 150-200 CHF
C4,"ISO 16739-1 (IFC) phiên bản 4.3 - Industry Foundation Classes, có phần mở rộng cho công trình cầu",ISO / buildingSMART,CV 2.4 - liên kết mã định danh với hồ sơ mô hình thông tin công trình,Chưa có,"Bản đặc tả kỹ thuật công bố miễn phí tại technical.buildingsmart.org; bản tiêu chuẩn ISO chính thức mua tại iso.org, ước tính 200 CHF"
C5,ISO 19650 (bộ) - Organization and digitization of information about buildings and civil engineering works,ISO,"CV 2.4, 5.6 - quản lý thông tin theo vòng đời công trình",Chưa có,iso.org hoặc VSQI. Ước tính 150-180 CHF mỗi phần
D1,"COST Action TU1402 - Quantifying the Value of Structural Health Monitoring: Guide for Operators, Guide for Practicing Engineers, Guide for Scientists","Mạng lưới COST châu Âu, 2019","CV 2.1, 2.5 - khung giá trị của thông tin, căn cứ phân bổ công nghệ theo giá trị quản lý",Đã có,cost-tu1402.eu - miễn phí
D2,LA-13976-MS - A Review of Structural Health Monitoring Literature 1996-2001,"Phòng thí nghiệm Quốc gia Los Alamos, Hoa Kỳ, 2004",CV 2.5 - khung bốn bước nhận dạng mẫu thống kê; ranh giới học có giám sát và không giám sát,Đã có,lanl.gov - miễn phí
D3,UNI EN 16991 - Risk-based inspection framework,"UNI/CEN, 2018","CV 2.6 - đường cong suy giảm điển hình của cầu bê tông cốt thép, được Linee Guida Ponti mục 7.7.1 dẫn chiếu",Chưa có,store.uni.com hoặc cơ quan tiêu chuẩn CEN. Ước tính 80-150 EUR
D4,"Farrar C.R., Worden K. - Structural Health Monitoring: A Machine Learning Perspective, Wiley",2013,"CV 2.5, 2.6, 3.5 - tài liệu nền tảng cho phương pháp thống kê và học máy trong SHM",Chưa có,Mua tại Wiley hoặc Amazon. Ước tính 120-160 USD
D5,Bộ dữ liệu chuẩn Z24 Bridge benchmark và KW51,"KU Leuven, Bỉ; Zenodo","CV 3.5, 3.7 - thử nghiệm thuật toán khử ảnh hưởng nhiệt độ và thiết lập ngưỡng trước khi có dữ liệu của nhiệm vụ",Chưa có,"Z24: đăng ký miễn phí với KU Leuven. KW51: tải trực tiếp trên Zenodo, miễn phí. Nên lấy sớm vì không phụ thuộc tiến độ nhiệm vụ"
E1,FHWA-HRT-18-008 - LTBP Program Overview; ASPIRE 2022 - LTBP Program Update; ISHMII - LTBP Program Update; FHWA LTBP Program Presentation,"FHWA, Hoa Kỳ, 2016-2022",CV 2.4 - kho dữ liệu InfoBridge nhiều tầng; chiến lược cầu tham chiếu và cụm cầu,Đã có,"fhwa.dot.gov, infobridge.fhwa.dot.gov - miễn phí"
E2,"Caltrans CA07-0245 - Long-Term Structural Performance Monitoring of Bridges, Phase II","Sở Giao thông California, Hoa Kỳ, 2008","CV 2.5 - mô hình nền đã hiệu chỉnh, nhận dạng độ cứng phần tử, phân loại phương pháp nhận dạng hệ thống",Đã có,dot.ca.gov - miễn phí
E3,SHMII-13-065 - Extended abstract,Hội nghị SHMII,Tham khảo kinh nghiệm triển khai,Đã có,ishmii.org
F1,"Luật Đường bộ số 35/2024/QH15, hiệu lực từ 01/01/2025","Quốc hội, 2024",Khung pháp lý nền của toàn nhiệm vụ,Đã có,datafiles.chinhphu.vn - miễn phí. Tải ngày 16/9/2026
F2,"Nghị định số 165/2024/NĐ-CP quy định chi tiết, hướng dẫn thi hành Luật Đường bộ (kèm Phụ lục)","Chính phủ, 26/12/2024","CV 2.1 - chứa các quy định về quản lý, bảo trì kết cấu hạ tầng đường bộ",Đã có,datafiles.chinhphu.vn - miễn phí. Tải ngày 16/9/2026
F3,"Thông tư số 41/2024/TT-BGTVT về quản lý, vận hành, khai thác và bảo trì kết cấu hạ tầng đường bộ (thay thế Thông tư 37/2018/TT-BGTVT)","Bộ GTVT, 15/11/2024","Căn cứ pháp lý về bảo trì, thay cho văn bản đang viện dẫn nhầm trong hồ sơ",Đã có,congbao.chinhphu.vn - miễn phí. Tải ngày 16/9/2026
F4,"Thông tư số 12/2025/TT-BXD về tải trọng, khổ giới hạn đường bộ; lưu hành xe quá khổ, quá tải; cấp giấy phép lưu hành xe","Bộ Xây dựng, 30/6/2025","CV 2.5 - căn cứ pháp lý của nghiệp vụ thẩm định xe quá tải qua cầu, là ví dụ áp dụng chuẩn của mô hình số",Đã có,congbao.chinhphu.vn - miễn phí. Tải ngày 16/9/2026
F5,"Nghị định số 06/2021/NĐ-CP về quản lý chất lượng, thi công xây dựng và bảo trì công trình xây dựng","Chính phủ, 26/01/2021",CV 2.6 - trách nhiệm quan trắc và bảo trì trong khai thác,Đã có,congbao.chinhphu.vn - miễn phí
F6,Thông tư số 10/2021/TT-BXD hướng dẫn thi hành Nghị định 06/2021/NĐ-CP và Nghị định 44/2016/NĐ-CP,"Bộ Xây dựng, 2021","CV 2.6, 5.1 - hướng dẫn chi tiết quan trắc công trình trong khai thác",Đã có,congbao.chinhphu.vn - miễn phí. Tải ngày 16/9/2026
F7,"Nghị định số 241/2026/NĐ-CP sửa đổi, bổ sung Nghị định số 165/2024/NĐ-CP","Chính phủ, 2026",Cập nhật khung pháp lý đường bộ,Chưa có,vanban.chinhphu.vn - miễn phí. Nên tải để bảo đảm viện dẫn bản mới nhất
F8,"Nghị định số 47/2020/NĐ-CP về quản lý, kết nối và chia sẻ dữ liệu số của cơ quan nhà nước","Chính phủ, 2020","CV 2.4 - nguyên tắc kết nối, chia sẻ dữ liệu; căn cứ của giao diện GD-03",Chưa có,congbao.chinhphu.vn - miễn phí
F9,"Khung Kiến trúc Chính phủ số Việt Nam và Kiến trúc chính quyền điện tử Thành phố Hà Nội, phiên bản hiện hành",Bộ chủ quản về chuyển đổi số; UBND TP Hà Nội,CV 2.4 - mô hình kết nối bắt buộc mà hệ thống phải tuân theo,Chưa có,Cổng thông tin của cơ quan chuyên trách chuyển đổi số và của Thành phố. Bản của Thành phố có thể phải đề nghị cung cấp qua Sở Xây dựng
F10,TCVN 11823 (bộ) - Thiết kế cầu đường bộ,Bộ Khoa học và Công nghệ,"CV 2.6, 3.7 - giá trị giới hạn dùng cho ngưỡng lớp 1",Chưa có,Mua tại VSQI (tieuchuan.vsqi.gov.vn). Ước tính vài trăm nghìn đồng mỗi phần
F11,TCVN 9360:2012 - Quy trình kỹ thuật xác định độ lún công trình bằng phương pháp đo cao hình học; TCVN 9399:2012 - Xác định chuyển dịch ngang bằng phương pháp trắc địa,"Bộ Khoa học và Công nghệ, 2012","CV 2.2, 2.3 - các tiêu chuẩn quan trắc hiện hành trong nước mà khung kiến trúc phải định vị quan hệ",Chưa có,Mua tại VSQI
F12,22TCN 243-98 - Quy trình kiểm định cầu trên đường ô tô,"Bộ GTVT, 1998",CV 5.1 - quy trình kiểm định hiện vẫn được tham chiếu trong thực tế,Chưa có,Tìm tại thư viện Bộ Xây dựng hoặc các trang văn bản chuyên ngành
G1,"Thông tư số 44/2021/TT-BGTVT ban hành định mức quản lý, bảo dưỡng thường xuyên đường bộ - gồm toàn bộ Phụ lục I đến V, trong đó Phụ lục III là định mức cho cầu dài trên 300 m, cầu dây văng, cầu dây võng khẩu độ lớn","Bộ GTVT, 31/12/2021","CV 5.5 - khuôn mẫu định mức gần đề tài nhất: cách phân nhóm công việc, đơn vị hao phí, cách trình bày. Phụ lục III đúng nhóm cầu trọng điểm của Thành phố",Đã có,datafiles.chinhphu.vn - miễn phí. Tải ngày 16/9/2026
G2,Thông tư số 13/2021/TT-BXD hướng dẫn phương pháp xác định các chỉ tiêu kinh tế kỹ thuật và đo bóc khối lượng công trình (03 phần),"Bộ Xây dựng, 31/8/2021",CV 5.5 - phương pháp luận bắt buộc để lập định mức mới. Không làm đúng phương pháp này thì định mức không được chấp nhận,Đã có,congbao.chinhphu.vn - miễn phí. Tải ngày 16/9/2026
G3,Thông tư số 14/2021/TT-BXD hướng dẫn xác định chi phí bảo trì công trình xây dựng (chi tiết Điều 35 Nghị định 06/2021/NĐ-CP),"Bộ Xây dựng, 08/9/2021",CV 5.5 - khung chi phí bảo trì mà chi phí vận hành hệ thống SHM phải nằm vào,Đã có,congbao.chinhphu.vn - miễn phí. Tải ngày 16/9/2026
G4,"Thông tư số 60/2025/TT-BXD sửa đổi, bổ sung các Thông tư 11, 12, 13, 14/2021/TT-BXD","Bộ Xây dựng, 30/12/2025",Cập nhật hiệu lực của toàn bộ nhóm thông tư chi phí và định mức,Đã có,congbao.chinhphu.vn - miễn phí. Tải ngày 16/9/2026
G5,"Thông tư số 11/2021/TT-BXD hướng dẫn xác định và quản lý chi phí đầu tư xây dựng (sửa bởi TT 14/2023, TT 01/2025, TT 60/2025)","Bộ Xây dựng, 2021",Chi phí đầu tư lắp đặt hệ thống,Chưa có,congbao.chinhphu.vn - miễn phí
G6,"Thông tư số 12/2021/TT-BXD ban hành định mức xây dựng (sửa bởi TT 09/2024, TT 08/2025 nay được thay bằng TT 38/2026, và TT 60/2025)","Bộ Xây dựng, 2021",CV 5.5 - định mức nền để tham chiếu và chứng minh công tác SHM chưa có định mức,Chưa có,congbao.chinhphu.vn - miễn phí. Lưu ý tải kèm các thông tư sửa đổi
G7,"Thông tư số 06/2023/TT-BGTVT sửa đổi Thông tư 44/2021/TT-BGTVT; Văn bản hợp nhất 23/VBHN-BXD (2026) về định mức quản lý, bảo dưỡng thường xuyên đường bộ",Bộ GTVT 2023; Bộ Xây dựng 2026,CV 5.5 - bản hợp nhất là bản nên dùng để tra cứu,Chưa có,"congbao.chinhphu.vn, luatvietnam.vn - miễn phí. Nên tải bản hợp nhất thay cho việc ghép thủ công"
G8,Nghị định số 10/2021/NĐ-CP về quản lý chi phí đầu tư xây dựng (sửa bởi Nghị định 35/2023/NĐ-CP),"Chính phủ, 2021","Khung pháp lý cấp nghị định của toàn bộ hệ thống định mức, chi phí",Chưa có,congbao.chinhphu.vn - miễn phí
G9,"Nghị định số 32/2019/NĐ-CP quy định giao nhiệm vụ, đặt hàng hoặc đấu thầu cung cấp sản phẩm, dịch vụ công sử dụng ngân sách nhà nước","Chính phủ, 2019",CV 5.5 - nếu vận hành SHM trở thành dịch vụ công đặt hàng thì đây là căn cứ để định mức có hiệu lực thanh toán,Chưa có,congbao.chinhphu.vn - miễn phí
G10,ISO 15686-5 - Buildings and constructed assets - Service life planning - Part 5: Life-cycle costing,ISO,"CV 5.5 - phương pháp chi phí vòng đời, dùng chứng minh hiệu quả đầu tư hệ thống",Chưa có,iso.org hoặc VSQI. Ước tính 150-200 CHF
G11,Tiêu chuẩn đơn giá công tác kiểm tra an toàn và chẩn đoán an toàn chi tiết công trình (대가기준),"KISTEC, Hàn Quốc","CV 5.5 - trường hợp hiếm có một quốc gia đã chuẩn hóa đơn giá cho công tác kiểm định, chẩn đoán an toàn kết cấu; gần nhất với sản phẩm định mức của nhiệm vụ",Chưa có,"kistec.or.kr - công bố công khai, bản tiếng Hàn; cần dịch"
H1,ISO/IEC/IEEE 42010 - Systems and software engineering - Architecture description,ISO/IEC/IEEE,"CV 2.3 - tiêu chuẩn quốc tế về cách mô tả kiến trúc: bên liên quan, mối quan tâm, khung nhìn, góc nhìn. Dùng tài liệu này thì khung kiến trúc của nhiệm vụ có chuẩn phương pháp để viện dẫn thay vì tự đặt ra cách trình bày",Chưa có,iso.org hoặc VSQI. Ước tính 180-220 CHF. Là tài liệu ưu tiên mua cao nhất của nhóm H
H2,"ISO 55000, ISO 55001, ISO 55002 - Asset management",ISO,"CV 2.1, 5.6 - Linee Guida Ponti mục 7.2.2 viện dẫn trực tiếp bộ tiêu chuẩn này cho việc tổ chức hệ thống giám sát. Là khung quản lý tài sản mà toàn bộ hệ SHM phải gắn vào",Chưa có,iso.org hoặc VSQI. Ước tính 120-180 CHF mỗi phần
H3,ISO/IEC 25010 - Systems and software quality models,ISO/IEC,"CV 2.4, 3.9 - khung chuẩn cho nhóm yêu cầu phi chức năng và tiêu chí nghiệm thu phần mềm",Chưa có,iso.org hoặc VSQI. Ước tính 150-200 CHF
H4,ISO/IEC 27001 và ISO/IEC 27002 - Information security management,ISO/IEC,"CV 2.4 - an toàn thông tin, bổ trợ quy định bảo đảm an toàn theo cấp độ trong nước",Chưa có,iso.org hoặc VSQI. Ước tính 150-200 CHF mỗi phần
H5,ISO 2394 - General principles on reliability for structures; ISO 13824 - General principles on risk assessment of systems involving structures,ISO,"CV 2.1, 2.6 - nền lý thuyết độ tin cậy và đánh giá rủi ro cho phân cấp và ngưỡng",Chưa có,iso.org hoặc VSQI. Ước tính 150-200 CHF mỗi tiêu chuẩn
H6,JCSS Probabilistic Model Code,Joint Committee on Structural Safety,CV 2.6 - mô hình xác suất cho tải trọng và sức kháng,Chưa có,jcss-lc.org - miễn phí
